id,project_id,project_name,week_start,description,completed,created_at
1,1,2/O AOI,2026-05-31,確認需求文件,false,2026-05-31T07:39:15
2,1,2/O AOI,2026-05-31,確認機台規格,false,2026-05-31T07:39:15
3,1,2/O AOI,2026-05-31,確認相機規格,false,2026-05-31T07:39:15
4,1,2/O AOI,2026-05-31,確認資料取得方式,false,2026-05-31T07:39:15
5,1,2/O AOI,2026-05-31,確認 AI 輔助項目,false,2026-05-31T07:39:15
6,1,2/O AOI,2026-05-31,確認機台現況,false,2026-05-31T07:39:15
7,1,2/O AOI,2026-05-31,確認資訊流串接方式,false,2026-05-31T07:39:15
8,10,AOI Agent,2026-05-31,確認需求文件,false,2026-05-31T07:39:15
9,10,AOI Agent,2026-05-31,確認機台規格,false,2026-05-31T07:39:15
10,10,AOI Agent,2026-05-31,確認相機規格,false,2026-05-31T07:39:15
11,10,AOI Agent,2026-05-31,確認資料取得方式,false,2026-05-31T07:39:15
12,10,AOI Agent,2026-05-31,確認 AI 輔助項目,false,2026-05-31T07:39:15
13,10,AOI Agent,2026-05-31,確認機台現況,false,2026-05-31T07:39:15
14,10,AOI Agent,2026-05-31,確認資訊流串接方式,false,2026-05-31T07:39:15
15,9,Cleanroom Monitoring,2026-05-31,完成模型選型評估,false,2026-05-31T07:39:15
16,9,Cleanroom Monitoring,2026-05-31,完成資料清理與前處理,false,2026-05-31T07:39:15
17,9,Cleanroom Monitoring,2026-05-31,完成模型訓練與驗證,false,2026-05-31T07:39:15
18,9,Cleanroom Monitoring,2026-05-31,完成離線指標評估報告,false,2026-05-31T07:39:15
19,9,Cleanroom Monitoring,2026-05-31,完成現場 PoC 測試,false,2026-05-31T07:39:15
20,4,CoS Xray,2026-05-31,確認管理平台 API 規格,false,2026-05-31T07:39:15
21,4,CoS Xray,2026-05-31,完成管理平台串接開發,false,2026-05-31T07:39:15
22,4,CoS Xray,2026-05-31,完成 UAT 測試,false,2026-05-31T07:39:15
23,4,CoS Xray,2026-05-31,確認正式上線計畫,false,2026-05-31T07:39:15
24,4,CoS Xray,2026-05-31,完成文件交付,false,2026-05-31T07:39:15
25,3,CoW Xray,2026-05-31,確認管理平台 API 規格,false,2026-05-31T07:39:15
26,3,CoW Xray,2026-05-31,完成管理平台串接開發,false,2026-05-31T07:39:15
27,3,CoW Xray,2026-05-31,完成 UAT 測試,false,2026-05-31T07:39:15
28,3,CoW Xray,2026-05-31,確認正式上線計畫,false,2026-05-31T07:39:15
29,3,CoW Xray,2026-05-31,完成文件交付,false,2026-05-31T07:39:15
30,2,DUC,2026-05-31,確認 API 格式,false,2026-05-31T07:39:15
31,2,DUC,2026-05-31,CIM 串接測試,false,2026-05-31T07:39:15
32,2,DUC,2026-05-31,廠商測試驗證,false,2026-05-31T07:39:15
33,2,DUC,2026-05-31,完成異常處理流程,false,2026-05-31T07:39:15
34,2,DUC,2026-05-31,完成上線前檢查清單,false,2026-05-31T07:39:15
35,8,Foundation Model,2026-05-31,完成模型選型評估,false,2026-05-31T07:39:15
36,8,Foundation Model,2026-05-31,完成資料清理與前處理,false,2026-05-31T07:39:15
37,8,Foundation Model,2026-05-31,完成模型訓練與驗證,false,2026-05-31T07:39:15
38,8,Foundation Model,2026-05-31,完成離線指標評估報告,false,2026-05-31T07:39:15
39,8,Foundation Model,2026-05-31,完成現場 PoC 測試,false,2026-05-31T07:39:15
40,6,ICOS AMD,2026-05-31,確認管理平台 API 規格,false,2026-05-31T07:39:15
41,6,ICOS AMD,2026-05-31,完成管理平台串接開發,false,2026-05-31T07:39:15
42,6,ICOS AMD,2026-05-31,完成 UAT 測試,false,2026-05-31T07:39:15
43,6,ICOS AMD,2026-05-31,確認正式上線計畫,false,2026-05-31T07:39:15
44,6,ICOS AMD,2026-05-31,完成文件交付,false,2026-05-31T07:39:15
45,5,SAT,2026-05-31,確認需求文件,false,2026-05-31T07:39:15
46,5,SAT,2026-05-31,確認機台規格,false,2026-05-31T07:39:15
47,5,SAT,2026-05-31,確認相機規格,false,2026-05-31T07:39:15
48,5,SAT,2026-05-31,確認資料取得方式,false,2026-05-31T07:39:15
49,5,SAT,2026-05-31,確認 AI 輔助項目,false,2026-05-31T07:39:15
50,5,SAT,2026-05-31,確認機台現況,false,2026-05-31T07:39:15
51,5,SAT,2026-05-31,確認資訊流串接方式,false,2026-05-31T07:39:15
